"id","backers","parentCat","duration","goal","raised","faqs","comments","description.length"
800,37,"Games",30.04166667,15000,1425,0,4,7263
801,29,"Music",30.26737269,5000,1840,0,0,2804
802,22,"Comics",29.50707176,7500,1061,0,0,4491
803,144,"Film & Video",60.04166667,35000,17319.07,0,5,3050
804,47,"Food",30.04166667,4000,2946,1,4,4372
805,6,"Film & Video",30.04166667,1500,770,0,0,1473
806,29,"Food",40.04166667,21000,3451,0,0,2726
807,6,"Publishing",58.34986111,1500,120,2,0,1542
808,4,"Film & Video",30.04166667,20000,90,0,0,2229
809,214,"Technology",30.04166667,25000,35079,0,2,11327
810,16,"Film & Video",51.27427083,5000,1440,0,0,766
811,11,"Fashion",28.04166667,4000,773,0,0,4555
812,2,"Publishing",29.92913194,1000,7.5,1,0,1033
813,140,"Food",50,10000,10320.02,0,10,6952
814,123,"Music",30,5000,5332,0,6,514
815,53,"Music",35.95971065,2500,2695,0,0,3453
816,90,"Publishing",34.32730324,15000,18335,0,5,4823
817,70,"Dance",22.00216435,3000,3560,0,0,4521
818,39,"Music",60,1100,1195,0,2,675
819,31,"Art",30,1500,1565,0,0,965
820,279,"Food",25,8800,12010,0,4,1333
821,9,"Games",45.33585648,5000,277,0,0,4265
822,132,"Music",30.68875,2500,8330.66,2,16,2903
823,33,"Art",18.5681713,1000,1397.89,0,1,1458
824,62,"Music",87.95232639,3400,3606.63,0,0,1060
825,21,"Art",30.5058912,500,511,3,0,2736
826,5,"Film & Video",35,1000,1100,0,0,1449
827,6,"Photography",30,5,60,0,2,400
828,30,"Photography",30,500,839.03,0,2,1789
829,124,"Film & Video",45.04166667,12500,15062,0,8,1525
830,30,"Art",59.95833333,1,300,0,3,10448
831,45,"Music",34.95833333,1000,1425,0,0,661
832,88,"Music",30,2500,3147.32,1,32,2179
833,57,"Film & Video",30,6000,6398,0,1,3813
834,76,"Music",44.25679398,4300,5237.88,0,26,3658
835,170,"Food",60,9300,9676,1,13,3792
836,1189,"Publishing",72.08122685,5000,31575.77,1,89,1889
837,42,"Art",30,1000,1386,5,4,2779
838,100,"Film & Video",41.65320602,10000,10450,0,0,1645
839,25,"Art",17.97396991,500,624,3,0,1608
840,4,"Film & Video",42.55747685,1800,62,0,0,708
841,2,"Technology",47.51503472,10000,150,0,0,5956
842,147,"Film & Video",35,25000,11176,0,1,5119
843,33,"Design",30,188000,1865,0,2,4290
844,50,"Music",35.64207176,1500,1558,0,7,1397
845,81,"Music",30,2500,3891.97,0,8,1676
846,25,"Music",30,1500,2756,0,2,1032
847,56,"Film & Video",40.18864583,10000,10011,0,4,8242
848,3,"Fashion",35,3950,170,0,0,1219
849,8,"Film & Video",68.26471065,12000,400,0,3,1883
850,4,"Music",27.84145833,2000,325,0,0,892
851,3,"Design",90,1000,210,0,1,1691
852,4,"Comics",30,7000,120,0,0,2467
